x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
23.9647,57.0235,57.023499999999999,1.900000000000000,23.964700000000001,5312,212331.0,2012/08/17 10:15:00.000,17.0
23.8785,56.9945,56.994500000000002,3.100000000000000,23.878499999999999,5313,212332.0,2012/08/17 10:25:00.000,15.0
23.829,56.9858,56.985799999999998,2.800000000000000,23.829000000000001,5314,212333.0,2012/08/17 10:35:00.000,17.0
23.6167,57.6167,57.616700000000002,5.000000000000000,23.616700000000002,5315,212334.0,2012/09/09 18:00:00.000,13.0
23.7667,57.4167,57.416699999999999,4.100000000000000,23.766700000000000,5316,212336.0,2012/09/10 11:30:00.000,11.0
23.85,57.3,57.299999999999997,4.000000000000000,23.850000000000001,5317,212337.0,2012/09/10 14:00:00.000,9.0
24.0833,57.35,57.350000000000001,3.000000000000000,24.083300000000001,5318,212338.0,2012/09/10 15:40:00.000,9.0
23.4,58.2,58.200000000000003,2.500000000000000,23.399999999999999,5319,212339.0,2012/10/10 18:30:00.000,13.0
23.6167,57.6167,57.616700000000002,4.100000000000000,23.616700000000002,5320,212344.0,2012/10/11 09:40:00.000,9.0
23.7667,57.4167,57.416699999999999,4.500000000000000,23.766700000000000,5321,212345.0,2012/10/11 12:10:00.000,9.0
23.4833,57.4,57.399999999999999,4.400000000000000,23.483300000000000,5322,212346.0,2012/10/11 14:35:00.000,9.0
23.85,57.3,57.299999999999997,4.500000000000000,23.850000000000001,5323,212347.0,2012/10/11 16:50:00.000,9.0
24.2167,57.1833,57.183300000000003,3.000000000000000,24.216699999999999,5324,212351.0,2012/10/12 08:35:00.000,19.0
23.9833,57.1,57.100000000000001,1.900000000000000,23.983300000000000,5325,212352.0,2012/10/12 10:20:00.000,19.0
23.8883,57.055,57.055000000000000,3.500000000000000,23.888300000000001,5326,212353.0,2012/10/12 11:20:00.000,19.0
23.3326,57.2196,57.219600000000000,3.000000000000000,23.332599999999999,5327,212354.0,2012/10/12 14:10:00.000,19.0
23.2373,57.3589,57.358899999999998,3.300000000000000,23.237300000000001,5328,212355.0,2012/10/12 15:40:00.000,19.0
22.9833,57.5667,57.566699999999997,3.500000000000000,22.983300000000000,5329,212356.0,2012/10/12 17:55:00.000,9.0
23.786,56.9772,56.977200000000003,2.800000000000000,23.786000000000001,5330,212359.0,2012/08/17 10:45:00.000,17.0
23.7273,56.9693,56.969299999999997,2.800000000000000,23.727300000000000,5331,212360.0,2012/08/17 10:50:00.000,17.0
23.6897,56.9652,56.965200000000003,2.800000000000000,23.689699999999998,5332,212361.0,2012/08/17 10:55:00.000,17.0
23.6162,56.9685,56.968499999999999,2.800000000000000,23.616199999999999,5333,212362.0,2012/08/17 11:05:00.000,17.0
23.562,56.9798,56.979799999999997,2.600000000000000,23.562000000000001,5334,212363.0,2012/08/17 11:15:00.000,15.0
24.3701,57.634033,57.634033000000002,2.600000000000000,24.370100000000001,5335,212364.0,2012/08/17 11:30:00.000,17.0
